date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:13	23797/23797	---M--	200	added ('OK')	image/jpeg	etag:%227a531dd4be4f6f36476c028011a55b09%22	http://product.hstatic.net/1000383440/product/dscf0058_35b810c0dd1b4233aff51f81970ad196_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0058_35b810c0dd1b4233aff51f81970ad196_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:17	28963/28963	---M--	200	added ('OK')	image/jpeg	etag:%2283ea3d9637a0e518f00c88d7934e3bd5%22	http://product.hstatic.net/1000383440/product/dscf0061_7679273e15ff4a17bf9f33423097c373_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0061_7679273e15ff4a17bf9f33423097c373_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:17	301093/301093	---MCZ	200	added ('OK')	text/html	etag:W/%2254fd4cc677e6436297fcb68e8ad91f7f%22	https://bossgiay.vn/products/nike-air-force-1-next-nature-safety-orange-fj4669-100	E:/test_shoes_shop/bossgiay.vn/products/nike-air-force-1-next-nature-safety-orange-fj4669-100.html	(from https://bossgiay.vn/collections/sneaker)
23:36:17	19453/19453	---M--	200	added ('OK')	image/jpeg	etag:%227e28233827b835d99e591111b71538ed%22	http://product.hstatic.net/1000383440/product/dscf0075_d998c1b474244e0a833fa1fe509aab32_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0075_d998c1b474244e0a833fa1fe509aab32_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:19	45108/45108	---M--	200	added ('OK')	image/jpeg	etag:%22e8decb9eb0469e5f3111eec4dcb4ebd7%22	http://product.hstatic.net/1000383440/product/dscf0061_7679273e15ff4a17bf9f33423097c373_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0061_7679273e15ff4a17bf9f33423097c373_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:19	15527/15527	---M--	200	added ('OK')	image/jpeg	etag:%22a1ecdb2ee9afba9d48292b1d3efd57ea%22	http://product.hstatic.net/1000383440/product/dscf0078_6f8fbbc3e3484952998c9a152a4339b7_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0078_6f8fbbc3e3484952998c9a152a4339b7_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:23	297537/297537	---MCZ	200	added ('OK')	text/html	etag:W/%227a934ccad2fd43c9914f6e3ae5c43336%22	https://bossgiay.vn/products/nike-air-jordan-1-low-alternate-bred-toe-553560-066	E:/test_shoes_shop/bossgiay.vn/products/nike-air-jordan-1-low-alternate-bred-toe-553560-066.html	(from https://bossgiay.vn/collections/sneaker)
23:36:24	17812/17812	---M--	200	added ('OK')	image/jpeg	etag:%22fd2d599cd31282f28a3cceddcff3db72%22	http://product.hstatic.net/1000383440/product/dscf0064_e712d409fe1641f5b74d063af55a7bbc_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0064_e712d409fe1641f5b74d063af55a7bbc_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:25	52616/52616	---M--	200	added ('OK')	image/jpeg	etag:%222a29c2fa58073973286f9d34be245f6e%22	http://product.hstatic.net/1000383440/product/dscf0075_d998c1b474244e0a833fa1fe509aab32_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0075_d998c1b474244e0a833fa1fe509aab32_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:25	55832/55832	---M--	200	added ('OK')	image/jpeg	etag:%22e73cc587dd53b6970abc4f491691e5b9%22	http://product.hstatic.net/1000383440/product/dscf0078_6f8fbbc3e3484952998c9a152a4339b7_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0078_6f8fbbc3e3484952998c9a152a4339b7_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
